quarter,town,flat_type,median_rent
2005-Q3,BUKIT TIMAH,1-RM,na                       
2005-Q3,BUKIT TIMAH,2-RM,na                       
2005-Q3,BUKIT TIMAH,3-RM,-                        
2005-Q3,BUKIT TIMAH,4-RM,-                        
2005-Q3,BUKIT TIMAH,5-RM,-                        
2005-Q3,BUKIT TIMAH,EXEC,-                        
2005-Q3,CENTRAL,1-RM,na                           
2005-Q3,CENTRAL,2-RM,-                            
2005-Q3,CENTRAL,3-RM,-                            
2005-Q3,CENTRAL,4-RM,-                            
2005-Q3,CENTRAL,5-RM,na                           
2005-Q3,CENTRAL,EXEC,na                           
2005-Q3,CHOA CHU KANG,1-RM,na                     
2005-Q3,CHOA CHU KANG,2-RM,na                     
2005-Q3,CHOA CHU KANG,3-RM,na                     
2005-Q3,CHOA CHU KANG,4-RM,850
2005-Q3,CHOA CHU KANG,5-RM,950
2005-Q3,CHOA CHU KANG,EXEC,-                      
2005-Q3,CLEMENTI,1-RM,na                          
2005-Q3,CLEMENTI,2-RM,na                          
2005-Q3,CLEMENTI,3-RM,860
2005-Q3,CLEMENTI,4-RM,1050
2005-Q3,CLEMENTI,5-RM,-                           
2005-Q3,CLEMENTI,EXEC,-                           
2005-Q3,GEYLANG,1-RM,na                           
2005-Q3,GEYLANG,2-RM,-                            
2005-Q3,GEYLANG,3-RM,800
2005-Q3,GEYLANG,4-RM,-                            
2005-Q3,GEYLANG,5-RM,-                            
2005-Q3,GEYLANG,EXEC,-                            
2005-Q3,HOUGANG,1-RM,na                           
2005-Q3,HOUGANG,2-RM,na                           
2005-Q3,HOUGANG,3-RM,-                            
2005-Q3,HOUGANG,4-RM,900
2005-Q3,HOUGANG,5-RM,930
2005-Q3,HOUGANG,EXEC,-                            
2005-Q3,JURONG EAST,1-RM,na                       
2005-Q3,JURONG EAST,2-RM,na                       
2005-Q3,JURONG EAST,3-RM,800
2005-Q3,JURONG EAST,4-RM,-                        
2005-Q3,JURONG EAST,5-RM,1044
2005-Q3,JURONG EAST,EXEC,-                        
2005-Q3,JURONG WEST,1-RM,na                       
2005-Q3,JURONG WEST,2-RM,na                       
2005-Q3,JURONG WEST,3-RM,800
2005-Q3,JURONG WEST,4-RM,900
2005-Q3,JURONG WEST,5-RM,1075
2005-Q3,JURONG WEST,EXEC,-                        
2005-Q3,KALLANG/WHAMPOA,1-RM,na                   
2005-Q3,KALLANG/WHAMPOA,2-RM,-                    
2005-Q3,KALLANG/WHAMPOA,3-RM,800
2005-Q3,KALLANG/WHAMPOA,4-RM,-                    
2005-Q3,KALLANG/WHAMPOA,5-RM,-                    
2005-Q3,KALLANG/WHAMPOA,EXEC,-                    
2005-Q3,LIM CHU KANG,1-RM,na                      
2005-Q3,LIM CHU KANG,2-RM,na                      
2005-Q3,LIM CHU KANG,3-RM,na                      
2005-Q3,LIM CHU KANG,4-RM,na                      
2005-Q3,LIM CHU KANG,5-RM,na                      
2005-Q3,LIM CHU KANG,EXEC,na                      
2005-Q3,MARINE PARADE,1-RM,na                     
2005-Q3,MARINE PARADE,2-RM,na                     
2005-Q3,MARINE PARADE,3-RM,880
2005-Q3,MARINE PARADE,4-RM,-                      
2005-Q3,MARINE PARADE,5-RM,-                      
2005-Q3,MARINE PARADE,EXEC,na                     
2005-Q3,PASIR RIS,1-RM,na                         
2005-Q3,PASIR RIS,2-RM,na                         
2005-Q3,PASIR RIS,3-RM,-                          
2005-Q3,PASIR RIS,4-RM,900
2005-Q3,PASIR RIS,5-RM,975
2005-Q3,PASIR RIS,EXEC,1000
2005-Q3,PUNGGOL,1-RM,na                           
2005-Q3,PUNGGOL,2-RM,na                           
2005-Q3,PUNGGOL,3-RM,na                           
2005-Q3,PUNGGOL,4-RM,-                            
2005-Q3,PUNGGOL,5-RM,-                            
2005-Q3,PUNGGOL,EXEC,-                            
2005-Q3,QUEENSTOWN,1-RM,na                        
2005-Q3,QUEENSTOWN,2-RM,-                         
2005-Q3,QUEENSTOWN,3-RM,850
2005-Q3,QUEENSTOWN,4-RM,1100
2005-Q3,QUEENSTOWN,5-RM,-                         
2005-Q3,QUEENSTOWN,EXEC,na                        
2005-Q3,SEMBAWANG,1-RM,na                         
2005-Q3,SEMBAWANG,2-RM,na                         
2005-Q3,SEMBAWANG,3-RM,na                         
2005-Q3,SEMBAWANG,4-RM,-                          
2005-Q3,SEMBAWANG,5-RM,-                          
2005-Q3,SEMBAWANG,EXEC,-                          
2005-Q3,SENGKANG,1-RM,na                          
2005-Q3,SENGKANG,2-RM,na                          
2005-Q3,SENGKANG,3-RM,na                          
2005-Q3,SENGKANG,4-RM,-                           
2005-Q3,SENGKANG,5-RM,850
2005-Q3,SENGKANG,EXEC,-                           
2005-Q3,SERANGOON,1-RM,na                         
2005-Q3,SERANGOON,2-RM,na                         
2005-Q3,SERANGOON,3-RM,-                          
2005-Q3,SERANGOON,4-RM,900
2005-Q3,SERANGOON,5-RM,-                          
2005-Q3,SERANGOON,EXEC,-                          
2005-Q3,TAMPINES,1-RM,na                          
2005-Q3,TAMPINES,2-RM,na                          
2005-Q3,TAMPINES,3-RM,800
2005-Q3,TAMPINES,4-RM,900
2005-Q3,TAMPINES,5-RM,1100
2005-Q3,TAMPINES,EXEC,-                           
2005-Q3,TOA PAYOH,1-RM,na                         
2005-Q3,TOA PAYOH,2-RM,-                          
2005-Q3,TOA PAYOH,3-RM,850
2005-Q3,TOA PAYOH,4-RM,1000
2005-Q3,TOA PAYOH,5-RM,-                          
2005-Q3,TOA PAYOH,EXEC,-                          
2005-Q3,WOODLANDS,1-RM,na                         
2005-Q3,WOODLANDS,2-RM,na                         
2005-Q3,WOODLANDS,3-RM,-                          
2005-Q3,WOODLANDS,4-RM,900
2005-Q3,WOODLANDS,5-RM,900
2005-Q3,WOODLANDS,EXEC,-                          
2005-Q3,YISHUN,1-RM,na                            
2005-Q3,YISHUN,2-RM,na                            
2005-Q3,YISHUN,3-RM,728
2005-Q3,YISHUN,4-RM,850
2005-Q3,YISHUN,5-RM,900
2005-Q3,YISHUN,EXEC,-                             
